,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,Region
13860,World,all_energy_types,1990,353.54,357.84,49229.89,5294251.48698,66.78,7.18,22158.63,World
13861,World,coal,1990,95.87,99.11,49229.89,5294251.48698,66.78,7.18,9208.27,World
13862,World,natural_gas,1990,75.12,75.71,49229.89,5294251.48698,66.78,7.18,3925.34,World
13863,World,petroleum_n_other_liquids,1990,136.13,136.2,49229.89,5294251.48698,66.78,7.18,9025.02,World
13864,World,nuclear,1990,20.36,20.36,49229.89,5294251.48698,66.78,7.18,0.0,World
13865,World,renewables_n_other,1990,26.11,26.46,49229.89,5294251.48698,66.78,7.18,0.0,World
13866,Afghanistan,all_energy_types,1990,0.11,0.12,33.52,12412.3,8.73,3.23,6.02,Arab contries
13867,Afghanistan,coal,1990,0.0,0.0,33.52,12412.3,8.73,3.23,0.25,Arab contries
13868,Afghanistan,natural_gas,1990,0.07,0.11,33.52,12412.3,8.73,3.23,3.78,Arab contries
13869,Afghanistan,petroleum_n_other_liquids,1990,0.03,0.0,33.52,12412.3,8.73,3.23,2.0,Arab contries
13871,Afghanistan,renewables_n_other,1990,0.01,0.01,33.52,12412.3,8.73,3.23,0.0,Arab contries
13872,Albania,all_energy_types,1990,0.11,0.13,15.58,3286.07,34.95,7.37,9.31,Eastern Europe
13873,Albania,coal,1990,0.03,0.02,15.58,3286.07,34.95,7.37,3.62,Eastern Europe
13874,Albania,natural_gas,1990,0.01,0.01,15.58,3286.07,34.95,7.37,1.39,Eastern Europe
13875,Albania,petroleum_n_other_liquids,1990,0.04,0.07,15.58,3286.07,34.95,7.37,4.3,Eastern Europe
13877,Albania,renewables_n_other,1990,0.03,0.03,15.58,3286.07,34.95,7.37,0.0,Eastern Europe
13878,Algeria,all_energy_types,1990,1.22,4.75,231.43,25758.9,47.27,5.26,66.69,Arab contries
13879,Algeria,coal,1990,0.03,0.0,231.43,25758.9,47.27,5.26,3.37,Arab contries
13880,Algeria,natural_gas,1990,0.8,2.11,231.43,25758.9,47.27,5.26,41.32,Arab contries
13881,Algeria,petroleum_n_other_liquids,1990,0.38,2.64,231.43,25758.9,47.27,5.26,22.0,Arab contries
13883,Algeria,renewables_n_other,1990,0.0,0.0,231.43,25758.9,47.27,5.26,0.0,Arab contries
13890,Angola,all_energy_types,1990,0.08,1.04,62.57,11848.4,6.72,1.27,4.73,Africa
13891,Angola,coal,1990,0.0,0.0,62.57,11848.4,6.72,1.27,0.0,Africa
13892,Angola,natural_gas,1990,0.02,0.02,62.57,11848.4,6.72,1.27,0.83,Africa
13893,Angola,petroleum_n_other_liquids,1990,0.05,1.01,62.57,11848.4,6.72,1.27,3.9,Africa
13895,Angola,renewables_n_other,1990,0.01,0.01,62.57,11848.4,6.72,1.27,0.0,Africa
13902,Antigua and Barbuda,all_energy_types,1990,0.01,0.0,0.98,62.533,95.45,6.07,0.4,Latin America
13903,Antigua and Barbuda,coal,1990,0.0,0.0,0.98,62.533,95.45,6.07,0.0,Latin America
13904,Antigua and Barbuda,natural_gas,1990,0.0,0.0,0.98,62.533,95.45,6.07,0.0,Latin America
13905,Antigua and Barbuda,petroleum_n_other_liquids,1990,0.01,0.0,0.98,62.533,95.45,6.07,0.4,Latin America
13907,Antigua and Barbuda,renewables_n_other,1990,0.0,0.0,0.98,62.533,95.45,6.07,0.0,Latin America
13908,Argentina,all_energy_types,1990,1.88,2.01,405.45,32675.95,57.42,4.63,107.37,Latin America
13909,Argentina,coal,1990,0.04,0.01,405.45,32675.95,57.42,4.63,3.76,Latin America
13910,Argentina,natural_gas,1990,0.74,0.65,405.45,32675.95,57.42,4.63,43.6,Latin America
13911,Argentina,petroleum_n_other_liquids,1990,0.83,1.09,405.45,32675.95,57.42,4.63,60.0,Latin America
13912,Argentina,nuclear,1990,0.08,0.08,405.45,32675.95,57.42,4.63,0.0,Latin America
13913,Argentina,renewables_n_other,1990,0.19,0.19,405.45,32675.95,57.42,4.63,0.0,Latin America
13920,Aruba,all_energy_types,1990,0.01,0.0,1.77,62.152,125.83,4.42,0.6,Western Europe
13921,Aruba,coal,1990,0.0,0.0,1.77,62.152,125.83,4.42,0.0,Western Europe
13922,Aruba,natural_gas,1990,0.0,0.0,1.77,62.152,125.83,4.42,0.0,Western Europe
13923,Aruba,petroleum_n_other_liquids,1990,0.01,0.0,1.77,62.152,125.83,4.42,0.6,Western Europe
13925,Aruba,renewables_n_other,1990,0.0,0.0,1.77,62.152,125.83,4.42,0.0,Western Europe
13926,Australia,all_energy_types,1990,3.85,6.59,514.47,17092.82,224.95,7.47,280.54,Oceania
13927,Australia,coal,1990,1.58,4.39,514.47,17092.82,224.95,7.47,153.13,Oceania
13928,Australia,natural_gas,1990,0.65,0.78,514.47,17092.82,224.95,7.47,31.54,Oceania
13929,Australia,petroleum_n_other_liquids,1990,1.48,1.27,514.47,17092.82,224.95,7.47,95.86,Oceania
13931,Australia,renewables_n_other,1990,0.13,0.15,514.47,17092.82,224.95,7.47,0.0,Oceania
